main_site,other_site,year,convergence_correlation
2,24,2,0.00774164118088614
2,25,1,0.11785633836171029
2,25,2,-0.039500227729185294
2,26,1,-0.0032557850425541145
2,27,1,-0.0014138000844797448
2,27,2,-0.04452457478483354
2,27,4,0.007431894540927581
2,28,1,0.06565919212190012
2,28,2,-0.03492652332011295
2,32,1,-0.017850152188694943
2,32,2,0.14328783215772958
2,33,1,0.028800483191360807
2,33,2,0.04100520417417593
2,37,1,0.09023125910120373
2,42,1,0.12751145183497192
2,42,2,-0.07386704318478843
2,42,4,-0.02459541071896282
2,43,1,0.001781250713623481
2,43,2,-0.0013927455434119666
2,45,1,0.23255177866375115
2,45,2,0.2679490530230563
2,45,4,-0.10219682464555638
2,46,1,0.1514123020623169
2,46,2,-0.10065911818234001
2,46,4,-0.0031156994650248337
2,48,1,-0.02628106487831376
2,49,1,0.13799134546502376
2,49,2,-0.10175446906094793
2,52,1,0.13832447317525115
2,52,2,-0.010668126608130681
2,52,4,-0.00489877451820043
2,53,1,0.1094162195415226
2,53,2,-0.03465289313795523
2,54,1,0.03367469890007758
2,54,2,-0.04784139405567131
2,55,1,0.07756965917947042
2,55,2,-0.030433935955607668
2,55,4,0.005747225898118696
2,57,1,0.15167902233038477
2,57,2,0.007875881708257882
2,57,4,0.01338667874313963
2,60,1,0.042790351076803596
4,5,1,0.5701756641738746
4,5,2,0.30244606415046194
4,5,3,-0.19934651125914216
4,6,1,0.5300964105352048
4,6,2,0.2758515711011624
4,9,1,-0.14443105046739613
4,9,2,-0.039190892495595576
4,9,3,0.004672950549449156
4,10,1,-0.07831773075904969
4,10,2,0.17833478847151038
4,10,3,-0.38497578976109553
4,11,1,0.08215806698682428
4,11,2,-0.05584122326727321
4,11,3,-0.018532519587186477
4,12,1,-0.10190279312508761
4,12,2,0.03355033323027856
4,13,1,0.021762647256424867
4,13,2,0.010065490682378135
4,13,3,-0.00034450299616223436
4,23,1,-0.2326677529331553
4,24,1,-0.11066572143045852
4,24,2,0.059492308441777435
4,25,1,0.05655113586734184
4,25,2,-0.06822782634203885
4,26,1,0.11774630062461515
4,27,1,-0.07168993650345057
4,27,2,-0.01539770185979804
4,27,3,-0.001893944641920215
4,28,1,-0.13279440348974905
4,28,2,-0.07954873779632839
4,28,3,-0.023934513808236156
4,32,1,0.7121811327367514
4,32,2,0.25379257820045503
4,32,3,-0.12402146065650822
4,33,1,-0.05567356622482176
4,33,2,0.045366266364773915
4,37,1,-0.12463494832194799
4,42,1,0.37248693219803486
4,42,2,-0.11192121065932989
4,42,3,0.04694773276368133
4,43,1,0.6290474681955386
4,43,2,0.18517455827949372
4,43,3,0.16946994173407676
4,45,1,0.318853938953773
4,45,2,0.2401340896203776
4,45,3,0.120178436815549
4,46,1,0.5685604929088175
4,46,2,-0.20224267619403738
4,46,3,-0.012084112779862604
4,48,1,-0.19630688215859474
4,48,3,-0.02372566458731668
4,49,1,0.5465752035731049
4,49,2,-0.14857755852133278
4,52,1,0.11044013267105382
4,52,2,0.040753271990208416
4,52,3,0.03770577052500107
4,53,1,0.32999659840153217
4,53,2,-0.0950417523194127
4,53,3,-0.0032268160852227668
